pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1753,RHDHBUGS-2583,3,[release-1.9] RHDHBUGS-2583 clarify enable / disable the guest user,2026-02-04,0.0,2,6,32,77,109,0,0,0,0,109,1,0,0,2
1752,RHIDP-11470,,RHIDP-11470: 1.8.3 Release Notes,2026-02-13,8.8,2,4,73,8,81,0,0,0,0,81,1,0,0,20
1751,RHIDP-11680,2,RHIDP-11680: Bump Openshift Serverless Logic version to 1.37.1,2026-02-26,21.9,7,10,32,32,64,1,5,0,5,69,0,0,0,5
1750,RHIDP-10994,5,[release-1.9] RHIDP-10994: Update the Bulk Import Plugin to Integrate Orchestrator Workflows,2026-02-04,0.0,2,2,83,0,83,0,0,0,0,83,1,0,0,2
1749,RHDHBUGS-2299,3,[release-1.9] RHDHBUGS-2299-1 - Clarify Third-Party Plugin Installation Steps for Environments Using Corporate CA Bundle,2026-02-04,0.0,2,5,239,0,239,0,0,0,0,239,4,0,0,7
1748,RHDHBUGS-2299,3,[release-1.8] RHDHBUGS-2299-1 - Clarify Third-Party Plugin Installation Steps for Environments Using Corporate CA Bundle,2026-02-04,0.0,2,5,239,0,239,0,0,0,0,239,4,0,0,7
1747,RHIDP-10987,3,RHIDP-10987 enabling auto-logout,2026-02-05,1.1,5,2,72,0,72,0,0,0,0,72,1,0,0,7
1746,RHDHBUGS-2410,2,RHDHBUGS-2410 Added keycloak session support,2026-02-05,1.1,6,1,16,2,18,0,0,0,0,18,0,0,0,4
1745,RHDHBUGS-2583,3,RHDHBUGS-2583 clarify enable / disable the guest user,2026-02-04,0.5,6,6,32,77,109,0,0,0,0,109,1,0,0,3
1744,RHIDP-9999,,RHIDP-9999: MCP 1.9 doc changes - new Software Catalog tools,2026-02-06,2.0,5,19,161,108,269,0,0,0,0,269,7,0,0,3
1743,RHIDP-10994,5,RHIDP-10994: Update the Bulk Import Plugin to Integrate Orchestrator Workflows,2026-02-04,0.7,7,2,83,0,83,0,0,0,0,83,1,0,0,2
1742,RHDHBUGS-761,5,[release-1.9] RHDHBUGS-761-filename-correction,2026-02-05,2.0,1,3,20,22,42,0,0,0,0,42,1,0,0,10
1740,RHDHBUGS-761,5,RHDHBUGS-761-filename-correction,2026-02-03,0.0,4,3,20,22,42,0,0,0,0,42,1,0,0,11
1738,RHDHBUGS-2536,3,RHDHBUGS-2536 part 2 Typo Corrections,2026-02-05,3.1,4,20,34,34,68,0,0,0,0,68,0,0,0,10
1737,RHDHBUGS-2541,1,[release-1.9] RHDHBUGS-2541: MCP config and LCore config updates,2026-02-02,0.0,2,6,33,13,46,0,0,0,0,46,0,0,0,2
1736,RHDHBUGS-2541,1,[release-1.8] RHDHBUGS-2541: MCP config and LCore config updates,2026-02-02,0.0,2,6,33,13,46,0,0,0,0,46,0,0,0,2
1735,RHDHBUGS-2299,3,RHDHBUGS-2299-1 - Clarify Third-Party Plugin Installation Steps for Environments Using Corporate CA Bundles,2026-02-04,2.1,10,5,239,0,239,0,0,0,0,239,4,0,0,17
1734,RHIDP-9757,8,RHIDP-9757 - Mirroring OCI artifacts into an airgapped RHDH deployment documentation,2026-02-18,16.9,7,7,199,0,199,0,0,0,0,199,6,0,0,37
1733,RHIDP-9079,8,RHIDP-9079 - Added service-to-service authentication,2026-02-05,6.1,5,7,334,0,334,2,1,0,1,335,5,0,1,19
1732,RHDHBUGS-2414,3,[release-1.8] RHDHBUGS-2414: YAML code indentation check,2026-02-02,2.7,2,1,62,72,134,0,0,0,0,134,0,0,0,5
1731,RHDHBUGS-2414,3,[release-1.9] RHDHBUGS-2414: YAML code indentation check,2026-02-02,2.8,2,1,62,72,134,0,0,0,0,134,0,0,0,5
