pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1516,RHIDP-7912,5,[release-1.8] RHIDP-7912: omitIdentityTokenOwnershipClaim flag,2025-11-06,0.0,1,3,31,0,31,0,0,0,0,31,2,0,0,15
1515,RHIDP-8118,2,[release-1.8] RHIDP-8118: update variables in authentication docs,2025-11-06,0.0,1,5,32,26,58,0,0,0,0,58,0,0,0,2
1514,RHIDP-8634,8,RHIDP-8634-2-1-8 - Improve the documentation to help developers convert plugins to dynamic plugins CP,2025-11-06,0.1,2,17,276,28,304,5,0,0,0,304,4,0,5,3
1513,RHIDP-9035,1,RHIDP-9035: Update the QuickAccess card icons on the Homepage,2025-11-06,0.3,6,2,105,1,106,0,0,0,0,106,1,0,0,5
1512,,,Update the attribute,2025-11-06,0.2,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1511,,,[release-1.8] Fix a typo on the Orchestrator,2025-11-06,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1510,,,[release-1.8] Minor Fixes and suggestions,2025-11-06,0.0,1,1,2,2,4,0,0,0,0,4,0,0,0,1
1509,,,[release-1.7] Fix a typo on the Orchestrator,2025-11-06,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1508,,,Minor Fixes and suggestions,2025-11-06,0.0,3,1,2,2,4,0,0,0,0,4,0,0,0,1
1507,,,Fix a typo on the Orchestrator,2025-11-06,0.0,11,1,1,1,2,0,0,0,0,2,0,0,0,1
1506,,,[release-1.8] Update the customization section,2025-11-06,0.0,1,3,26,31,57,0,0,0,0,57,1,0,0,5
1505,,,add-missing-attributes - Update attributes in release-1.8,2025-11-05,0.0,1,1,2,0,2,0,0,0,0,2,0,0,0,1
1504,RHIDP-8711,,RHIDP-8711: Orchestrator flavors airgap support- Manual cherry pick,2025-11-06,0.3,1,9,550,0,550,0,0,0,0,550,7,0,0,1
1503,RHIDP-8711,,RHIDP-8711: Orchestrator flavors airgap support-Manual cherry pick.,2025-11-06,0.3,1,9,550,0,550,0,0,0,0,550,7,0,0,1
1502,,,Update the customization section,2025-11-06,0.4,3,3,26,31,57,0,0,0,0,57,1,0,0,5
1501,RHDHBUGS-2221,1,RHDHBUGS-2221:Remove janus-idp references,2025-11-10,4.7,5,3,4,6,10,0,0,0,0,10,0,0,0,3
1500,,,[release-1.8] RHDHPAI-1087: MCP plugin doc - dev preview,2025-11-05,0.0,1,22,657,1,658,5,15,0,15,673,21,0,0,20
1499,RHIDP-9105,5,RHIDP-9105: Best practices when creating a workflow (#1424),2025-11-05,0.0,2,2,87,1,88,0,0,0,0,88,1,0,0,1
1498,RHIDP-9105,5,RHIDP-9105: Best practices when creating a workflow (#1424),2025-11-05,0.0,2,2,87,1,88,0,0,0,0,88,1,0,0,1
1497,RHIDP-8623,3,[release-1.8] RHIDP-8623 - [Doc] Create a quickstart for the developer persona,2025-11-05,0.0,1,3,54,0,54,0,0,0,0,54,1,0,0,7
1496,,,"[release-1.7] RHDHSUPP-292: Bad repository linked in ""TechDocs Pipelines with GitHub Actions""",2025-11-05,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1495,,,"[release-1.8] RHDHSUPP-292: Bad repository linked in ""TechDocs Pipelines with GitHub Actions""",2025-11-05,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1494,,,"RHDHSUPP-292: Bad repository linked in ""TechDocs Pipelines with GitHub Actions""",2025-11-05,0.0,7,1,1,1,2,0,0,0,0,2,0,0,0,1
1493,,,[release-1.8] Fixing title issues,2025-11-05,0.0,1,2,3,3,6,0,0,0,0,6,0,0,0,2
1492,,,Fixing title issues,2025-11-05,0.0,3,2,3,3,6,0,0,0,0,6,0,0,0,2
1491,RHIDP-8622,5,"RHIDP-8622: Removing ""Verified"" And Improving Transparency In The Extensions Catalog",2025-11-06,1.2,5,3,51,0,51,0,0,0,0,51,2,0,0,4
1490,RHIDP-8709,,[release-1.8] RHIDP-8709: Scorecard plugin,2025-11-05,0.0,1,22,700,1,701,7,15,0,15,716,19,0,2,18
1489,,,[release-1.8] Include dynamicArtifact:redhat packages in dynamic plugins tables,2025-11-05,0.9,1,2,21,5,26,2,37,26,63,89,0,0,0,1
1488,RHIDP-8118,2,RHIDP-8118: update variables in authentication docs,2025-11-06,1.8,7,5,32,26,58,0,0,0,0,58,0,0,0,2
1487,RHIDP-7912,5,RHIDP-7912: omitIdentityTokenOwnershipClaim flag,2025-11-06,1.8,6,3,31,0,31,0,0,0,0,31,2,0,0,16
1486,RHIDP-8911,2,[release-1.8] RHIDP-8911 - Add upstream docs link and Note for Dynamic Plugin Factory in RHDH Docs 1.8,2025-11-04,0.0,1,2,21,0,21,0,0,0,0,21,1,0,0,7
1485,RHIDP-8956,,[release-1.8] RHIDP-8956: Created titles for the new Developer category,2025-11-04,0.0,1,35,206,86,292,10,10,0,10,302,6,0,0,14
1484,RHIDP-9486,2,RHIDP-9486: Release notes for Red Hat Developer Hub 1.7.2,2025-11-05,0.8,4,2,14,0,14,0,0,0,0,14,1,0,0,5
1483,RHIDP-8819,5,[release-1.8] RHIDP-8819: Phase 1 of Enhanced Homepage Customization for RHDH,2025-11-04,0.0,1,2,177,0,177,0,0,0,0,177,1,0,0,6
1482,RHIDP-8828,5,[release-1.8] RHIDP-8828: Injecting resources for backstage containers,2025-11-04,0.0,1,3,143,82,225,0,0,0,0,225,1,0,0,19
1481,RHIDP-8634,8,RHIDP-8634-2 - Improve the documentation to help developers convert plugins to dynamic plugins,2025-11-05,1.4,6,19,302,28,330,5,0,0,0,330,5,0,5,28
1480,,,chore: tagRelease.sh: bump to 1.7.2 in release-1.7 branch [skip-build],2025-11-04,0.4,2,1,2,2,4,0,0,0,0,4,0,0,0,1
1479,RHIDP-8627,5,[release-1.8] RHIDP-8627: Templates lifecycle management,2025-11-03,0.0,1,5,101,0,101,0,0,0,0,101,3,0,0,9
1478,,,RHDHPAI-1089: RHOAI Model catalog bridge,2025-11-07,3.5,4,11,564,0,564,5,15,0,15,579,11,0,0,11
1477,RHDHBUGS-2190,1,RHDHBUGS-2190: Fixing authorization step in Lightspeed,2025-11-03,0.1,1,1,34,5,39,0,0,0,0,39,0,0,0,6
1476,RHIDP-8956,,RHIDP-8956: Created titles for the new Developer category,2025-11-04,1.4,4,35,206,86,292,10,10,0,10,302,6,0,0,14
1474,RHIDP-8631,5,RHIDP-8631: bulk import with gitlab,2025-11-07,4.7,6,5,68,20,88,0,0,0,0,88,1,0,0,5
1473,RHIDP-8623,3,RHIDP-8623 - [Doc] Create a quickstart for the developer persona,2025-11-05,3.0,4,3,54,0,54,0,0,0,0,54,1,0,0,11
1472,RHIDP-8911,2,RHIDP-8911 - Add upstream docs link and Note for Dynamic Plugin Factory in RHDH Docs 1.8,2025-11-04,4.0,4,2,21,0,21,0,0,0,0,21,1,0,0,10
1471,RHDHBUGS-2173,2,[release-1.8] RHDHBUGS-2173 - Incorrect file path for Keycloak backend plugin,2025-10-31,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1470,RHIDP-8627,5,RHIDP-8627: Templates lifecycle management,2025-11-03,3.4,5,5,101,0,101,0,0,0,0,101,3,0,0,9
1469,RHIDP-8818,1,[release-1.8] RHIDP-8818: updated yaml file,2025-10-30,0.0,1,2,35,23,58,0,0,0,0,58,0,0,0,7
1468,RHIDP-8637,3,[release-1.8] RHIDP-8637: OpenTelemetry Service Monitor,2025-10-30,0.0,1,2,20,42,62,0,0,0,0,62,0,0,0,6
1467,,,RHDHPAI-1091: Lightspeed Core Developer Lightspeed,2025-11-10,11.0,6,18,404,545,949,3,0,0,0,949,2,0,3,26
1466,RHIDP-8818,1,RHIDP-8818: updated yaml file,2025-10-30,1.0,4,2,35,23,58,0,0,0,0,58,0,0,0,7
1465,RHIDP-8709,,RHIDP-8709: Scorecard plugin,2025-11-05,7.0,5,22,700,1,701,7,15,0,15,716,19,0,2,18
1464,RHIDP-8828,5,RHIDP-8828: Injecting resources for backstage containers,2025-11-04,6.3,3,3,143,82,225,0,0,0,0,225,1,0,0,19
1463,RHIDP-8637,3,RHIDP-8637: OpenTelemetry Service Monitor,2025-10-30,1.9,6,2,20,42,62,0,0,0,0,62,0,0,0,6
1462,,,RHDHPAI-1087: MCP plugin doc - dev preview,2025-11-05,8.2,4,22,657,1,658,5,15,0,15,673,21,0,0,20
1461,RHIDP-8196,,RHIDP-8196: Events Module configuration for GitHub,2025-11-07,10.5,5,3,108,0,108,0,0,0,0,108,2,0,0,35
1460,,,Include dynamicArtifact:redhat packages in dynamic plugins tables ,2025-11-04,10.7,5,2,21,5,26,2,36,25,61,87,0,0,0,3
